id,city,type,location,long,lat,link,directions
j001,"Jeddah","Main Store","Prince Sultan Rd","21.554536","39.142942","http://goo.gl/Q13ItB","Prince Sultan Road/ In front of the Saudi Airlines Club Gate."
j002,"Jeddah","Nano Store","Old Airport Road eXtra Store","21.490773","39.223096","http://goo.gl/UWbT2n","JEDDAH - Abdullah Sulayman - Next to SABB"
j003,"Jeddah","Nano Store","Red Sea Mall","21.628255","39.111067","http://goo.gl/y4Zbah","JEDDAH -King Abdulaziz Branch Road, Ash Shatie Gate #2"
j004,"Jeddah","Nano Store","Prince Sultan eXtra","21.598252","39.142944","http://goo.gl/LLskpP","JEDDAH-Sultan Mall"
